id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
book-of-meme,0.0100853,695155509,-11.52478,0.01139901,0.00930297,0.02688878,5.848e-05,15-11-2024_16-26-58
l2-standard-bridged-weth-base,3099.3,687878409,-3.00507,3195.32,3023.49,3444.73,2160.5,15-11-2024_16-26-58
grass,2.77,675975352,2.25105,2.82,2.44,3.89,0.654959,15-11-2024_16-26-58
the-sandbox,0.281446,673285175,-1.14529,0.285133,0.268163,8.4,0.02897764,15-11-2024_16-26-58
conflux-token,0.144364,667921591,-5.82373,0.153291,0.138383,1.7,0.02199898,15-11-2024_16-26-58
frax,0.99621,647165927,0.02503,1.002,0.982693,1.14,0.874536,15-11-2024_16-26-58
fwog,0.661615,645390270,-3.92293,0.689843,0.568999,0.736315,0.00924364,15-11-2024_16-26-58
gnosis,247.75,640267610,-3.96637,257.98,239.81,644.2,6.88,15-11-2024_16-26-58
tether-gold,2576.39,634400126,0.6797,2588.0,2549.23,2815.31,1447.84,15-11-2024_16-26-58
wormhole,0.232529,633946333,-6.24912,0.248029,0.220865,1.66,0.16434,15-11-2024_16-26-58
decentraland,0.337539,630048251,0.78053,0.341224,0.317931,5.85,0.00923681,15-11-2024_16-26-58
arbitrum-bridged-weth-arbitrum-one,3100.97,620881320,-2.91119,3198.7,3020.67,3431.31,2161.12,15-11-2024_16-26-58
arkham,2.08,619578061,1.34846,2.13,1.93,3.98,0.287824,15-11-2024_16-26-58
turbo,0.00891736,615390999,-12.78647,0.01024173,0.00834094,0.01316848,6.518e-05,15-11-2024_16-26-58
moo-deng,0.614434,609032996,30.17366,0.618799,0.400602,0.618799,0.01544782,15-11-2024_16-26-58
spx6900,0.651668,605847651,5.60397,0.728582,0.578876,0.985483,0.00131808,15-11-2024_16-26-58
chiliz,0.064511,587318151,-2.41538,0.066221,0.061736,0.878633,0.00410887,15-11-2024_16-26-58
axelar,0.689893,581457979,-4.64605,0.723507,0.65566,2.64,0.312911,15-11-2024_16-26-58
superfarm,1.27,574584574,-5.52674,1.35,1.21,4.74,0.070397,15-11-2024_16-26-58
zcash,37.93,572347291,-2.23754,38.8,36.52,3191.93,16.08,15-11-2024_16-26-58
beldex,0.084577,564937692,3.69036,0.084661,0.080575,0.450785,0.00027519,15-11-2024_16-26-58
nervos-network,0.01254843,563912261,-3.28054,0.01298333,0.01209519,0.04370633,0.00197892,15-11-2024_16-26-58
binance-staked-sol,216.06,563298361,-2.65441,222.18,207.48,227.37,127.32,15-11-2024_16-26-58
coinbase-wrapped-staked-eth,3360.04,560518186,-2.81661,3462.37,3277.29,4335.7,1036.96,15-11-2024_16-26-58
ethereum-name-service,16.7,553148145,-2.63477,17.15,16.04,83.4,6.69,15-11-2024_16-26-58
dydx,1.22,552505375,0.21536,1.22,1.11,27.86,0.807449,15-11-2024_16-26-58
bitcoin-gold,31.23,546927238,-2.55549,34.22,28.88,456.25,4.25,15-11-2024_16-26-58
terra-luna,9.945e-05,542786549,-1.39064,0.00010085,9.565e-05,119.18,9.99967e-07,15-11-2024_16-26-58
sats-ordinals,2.4902e-07,522687855,-8.07079,2.70882e-07,2.36857e-07,9.22983e-07,3.189e-09,15-11-2024_16-26-58
safe,1.033,518270826,-0.88995,1.048,0.983802,3.56,0.619886,15-11-2024_16-26-58
corgiai,0.00150187,512866900,2.64362,0.00155197,0.00133073,0.0042301,4.414e-05,15-11-2024_16-26-58
degen-base,0.02978108,510941783,38.36396,0.03102549,0.01983498,0.064543,2.255e-05,15-11-2024_16-26-58
bitcoin-avalanche-bridged-btc-b,89215.0,510870568,-1.92772,91494.0,86746.0,93003.0,7806.11,15-11-2024_16-26-58
oasis-network,0.075946,510166812,-4.82677,0.080825,0.072398,0.597347,0.03200566,15-11-2024_16-26-58
super-oeth,3100.84,509449211,-2.93931,3198.3,3021.34,3402.49,2170.26,15-11-2024_16-26-58
zksync,0.138408,507889548,-5.04318,0.145759,0.131565,0.320983,0.08305,15-11-2024_16-26-58
pax-gold,2572.86,506398824,0.61993,2583.61,2528.02,2855.83,1399.64,15-11-2024_16-26-58
pancakeswap-token,1.8,505539232,-5.17665,1.9,1.75,43.96,0.194441,15-11-2024_16-26-58
dexe,8.82,503267025,1.18207,8.84,8.4,32.38,0.671563,15-11-2024_16-26-58
iota,0.142651,501588504,-1.73069,0.145164,0.135153,5.25,0.081637,15-11-2024_16-26-58
ronin,1.39,501123041,-3.30208,1.44,1.33,4.45,0.196601,15-11-2024_16-26-58
paypal-usd,1.002,500885632,0.10604,1.005,0.990798,1.021,0.972731,15-11-2024_16-26-58
havven,1.52,499431108,-1.80267,1.55,1.45,28.53,0.0347864,15-11-2024_16-26-58
true-usd,0.998851,494477167,0.34062,1.004,0.986015,1.62,0.88355,15-11-2024_16-26-58
frax-ether,3072.11,481200678,-3.61242,3190.82,3017.09,4062.68,1137.25,15-11-2024_16-26-58
pepecoin-2,3.95,473966285,-3.03572,4.16,3.7,7.51,0.01088097,15-11-2024_16-26-58
virtual-protocol,0.46996,469543563,35.01379,0.469215,0.33393,0.513335,0.00748604,15-11-2024_16-26-58
gigachad-2,0.04866751,467237149,6.99814,0.04973571,0.04291441,0.07644,1.244e-05,15-11-2024_16-26-58
blur,0.229338,459635713,-5.25125,0.242056,0.219687,5.02,0.109611,15-11-2024_16-26-58
woo-network,0.247408,455809194,-3.04111,0.255168,0.231791,1.78,0.02211546,15-11-2024_16-26-58
eigenlayer,2.44,455620408,-3.87488,2.6,2.32,4.47,2.26,15-11-2024_16-26-58
apenft,4.53273e-07,448264763,-1.64289,4.63116e-07,4.44011e-07,7.53e-06,2.98737e-07,15-11-2024_16-26-58
polygon-pos-bridged-weth-polygon-pos,3100.48,448207226,-2.81186,3196.62,3021.16,3421.39,2162.83,15-11-2024_16-26-58
xdce-crowd-sale,0.02990969,446070671,-1.70475,0.03044432,0.02959226,0.192754,0.00039532,15-11-2024_16-26-58
l2-standard-bridged-weth-blast,3096.72,442698561,-2.94372,3194.06,3017.43,3410.45,2167.33,15-11-2024_16-26-58
ondo-us-dollar-yield,1.064,439913798,0.0769,1.068,1.053,1.26,0.934184,15-11-2024_16-26-58
ether-fi-staked-btc,89007.0,438504284,-0.13144,90378.0,86514.0,93130.0,58795.0,15-11-2024_16-26-58
bridged-usdc-polygon-pos-bridge,1.001,431164121,0.08211,1.007,0.987931,1.028,0.975633,15-11-2024_16-26-58
